TagCodeA,TagCodeB,DescriptionA,DescriptionB,PMI
EB,MAC,abstract elements,compound of images,0.24894253182739984
EBA,MAC,geometric shapes,compound of images,0.1932215193745865
ED,MAC,plasticity,compound of images,0.24507097776266304
EDA,MAC,light/shadow,compound of images,0.23193958954662103
MAA,MAC,integrated in the layout,compound of images,-0.07476776840197207
MAC,MCA,compound of images,woodcut,-0.014537631785589847
EAE,EB,phrases,abstract elements,-0.052911122896922354
EAE,EBA,phrases,geometric shapes,-0.116899751333336
EC,MAC,concrete elements,compound of images,0.19057679811902292
ECA,MAC,physical objects,compound of images,0.224259924375311
EAA,ECB,letters,persons or human body,-0.06670731111608343
EB,ECB,abstract elements,persons or human body,-1.165566023342535
EBA,ECB,geometric shapes,persons or human body,-1.2893513107405026
ECB,MAA,persons or human body,integrated in the layout,-0.24801254040933216
ECB,MCA,persons or human body,woodcut,-0.8073251362242504
EB,MAB,abstract elements,part of a set,0.024977690672198165
EBA,MAB,geometric shapes,part of a set,-0.20974314760368248
EA,ECC,text,scene,0.0462347743721231
EAD,ECC,words,scene,0.40013525899776514
ECA,ECC,physical objects,scene,0.6247978539590401
ECB,ECC,persons or human body,scene,3.2046305269161284
ECC,ED,scene,plasticity,0.7384224046419965
ECC,EDA,scene,light/shadow,0.7894213538456701
ECC,EDB,scene,3d and perspective,1.6631696648315588
ECC,MAA,scene,integrated in the layout,-0.2802468068020738
ECC,MCA,scene,woodcut,-1.4350295611565418
EA,ECD,text,topographical structures,0.06856302302862691
EAA,ECD,letters,topographical structures,0.013428056499794904
EB,ECD,abstract elements,topographical structures,0.12341164974354066
EBA,ECD,geometric shapes,topographical structures,0.2438475924445544
ECA,ECD,physical objects,topographical structures,0.20976035468019585
ECD,ED,topographical structures,plasticity,0.5543990358703917
ECD,EDA,topographical structures,light/shadow,0.5669238372594295
ECD,MAA,topographical structures,integrated in the layout,-0.39026959412990186
ECD,MCA,topographical structures,woodcut,-0.20718270972798558
EAB,EB,numbers,abstract elements,0.23532545557307974
EAB,EBA,numbers,geometric shapes,0.31197669867972616
EAB,EC,numbers,concrete elements,-0.19432541792641178
EAB,ECA,numbers,physical objects,-0.2048098749456918
EAB,ED,numbers,plasticity,-0.4762525350937743
EAB,EDA,numbers,light/shadow,-0.4656113235062418
EAB,MAG,numbers,separate page,1.3189075096803093
EAB,MCA,numbers,woodcut,-0.1853567081592787
EB,MAG,abstract elements,separate page,0.014887192965371596
EBA,MAG,geometric shapes,separate page,-0.005838398131237515
MAG,MCA,separate page,woodcut,-0.23067106265035514
EAB,EDB,numbers,3d and perspective,0.026740851078233246
EAB,MAC,numbers,compound of images,0.05391425080845867
EDB,MAC,3d and perspective,compound of images,0.8194489971714357
MAC,MAG,compound of images,separate page,1.215451466758052
EAB,MAA,numbers,integrated in the layout,-0.26543990041507715
EAB,EAD,numbers,words,0.47152569375112885
EA,MAF,text,separate sheet,0.1017298869638263
